source,target,demand_value
ATLAM5,ATLAng,0.140163
ATLAM5,CHINng,0.989189
ATLAM5,DNVRng,0.072899
ATLAM5,HSTNng,0.507683
ATLAM5,IPLSng,0.256824
ATLAM5,KSCYng,1.418363
ATLAM5,LOSAng,1.058343
ATLAM5,NYCMng,1.059797
ATLAM5,SNVAng,0.097988
ATLAM5,STTLng,0.722885
ATLAM5,WASHng,1.029925
ATLAng,ATLAM5,0.293176
ATLAng,CHINng,25.191197
ATLAng,DNVRng,5.094925
ATLAng,HSTNng,25.317099
ATLAng,IPLSng,18.381453
ATLAng,KSCYng,3.373651
ATLAng,LOSAng,14.118405
ATLAng,NYCMng,5.953653
ATLAng,SNVAng,0.212744
ATLAng,STTLng,10.902283
ATLAng,WASHng,30.0406
CHINng,ATLAM5,2.306768
CHINng,ATLAng,25.349197
CHINng,DNVRng,10.894053
CHINng,HSTNng,10.241632
CHINng,IPLSng,139.574261
CHINng,KSCYng,23.190125
CHINng,LOSAng,849.518427
CHINng,NYCMng,38.954965
CHINng,SNVAng,2.628683
CHINng,STTLng,23.517827
CHINng,WASHng,33.604611
DNVRng,ATLAM5,0.374509
DNVRng,ATLAng,31.396333
DNVRng,CHINng,20.753592
DNVRng,HSTNng,10.351072
DNVRng,IPLSng,12.679531
DNVRng,KSCYng,8.076504
DNVRng,LOSAng,20.279085
DNVRng,NYCMng,9.549344
DNVRng,SNVAng,29.706789
DNVRng,STTLng,17.075893
DNVRng,WASHng,22.655419
HSTNng,ATLAM5,2.789061
HSTNng,ATLAng,3.221096
HSTNng,CHINng,16.889413
HSTNng,DNVRng,1.074437
HSTNng,IPLSng,10.291784
HSTNng,KSCYng,4.281155
HSTNng,LOSAng,8.528669
HSTNng,NYCMng,7.342424
HSTNng,SNVAng,0.372877
HSTNng,STTLng,6.711613
HSTNng,WASHng,15.750605
IPLSng,ATLAM5,0.444312
IPLSng,ATLAng,9.783451
IPLSng,CHINng,63.620637
IPLSng,DNVRng,5.911525
IPLSng,HSTNng,5.401184
IPLSng,KSCYng,7.426483
IPLSng,LOSAng,13.3252
IPLSng,NYCMng,9.759272
IPLSng,SNVAng,1.655736
IPLSng,STTLng,33.16384
IPLSng,WASHng,20.275672
KSCYng,ATLAM5,0.198477
KSCYng,ATLAng,5.491331
KSCYng,CHINng,35.53644
KSCYng,DNVRng,9.593955
KSCYng,HSTNng,3.457533
KSCYng,IPLSng,10.323413
KSCYng,LOSAng,5.029603
KSCYng,NYCMng,7.063243
KSCYng,SNVAng,1.902736
KSCYng,STTLng,7.934261
KSCYng,WASHng,9.306765
LOSAng,ATLAM5,2.060115
LOSAng,ATLAng,11.04252
LOSAng,CHINng,82.180291
LOSAng,DNVRng,15.033773
LOSAng,HSTNng,7.250144
LOSAng,IPLSng,21.115904
LOSAng,KSCYng,6.425731
LOSAng,NYCMng,31.046512
LOSAng,SNVAng,17.0882
LOSAng,STTLng,64.418109
LOSAng,WASHng,53.537917
NYCMng,ATLAM5,0.993256
NYCMng,ATLAng,22.063563
NYCMng,CHINng,21.76824
NYCMng,DNVRng,15.543912
NYCMng,HSTNng,15.706085
NYCMng,IPLSng,38.633629
NYCMng,KSCYng,11.087344
NYCMng,LOSAng,51.135771
NYCMng,SNVAng,2.081061
NYCMng,STTLng,25.247435
NYCMng,WASHng,97.14188
SNVAng,ATLAng,0.026667
SNVAng,DNVRng,3.253843
SNVAng,HSTNng,0.094277
SNVAng,IPLSng,0.278752
SNVAng,LOSAng,9.140595
SNVAng,NYCMng,0.064987
SNVAng,STTLng,22.680123
SNVAng,WASHng,0.026667
